epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.0882,2.64384,0.48235,0.84118,1.94327,0.000155217,0.000155217,0.000155217
2,65.9838,1.55879,0.63529,0.92941,1.13619,0.000313807,0.000313807,0.000313807
3,99.9824,0.8703,0.69412,0.94118,1.10128,0.000472089,0.000472089,0.000472089
4,141.082,0.53841,0.75882,0.97059,0.76667,0.000474954,0.000474954,0.000474954
5,174.422,0.4812,0.75294,0.96471,0.89075,0.000474142,0.000474142,0.000474142
6,205.184,0.35751,0.71765,0.94706,0.94726,0.000473099,0.000473099,0.000473099
7,233.804,0.30522,0.74706,0.95882,1.01539,0.000471827,0.000471827,0.000471827
8,264.424,0.26532,0.77647,0.97059,0.80219,0.000470326,0.000470326,0.000470326
9,295.286,0.25012,0.77059,0.96471,0.87231,0.000468598,0.000468598,0.000468598
10,324.525,0.22106,0.77647,0.97647,0.79198,0.000466644,0.000466644,0.000466644
11,356.222,0.23448,0.77059,0.95294,0.86146,0.000464468,0.000464468,0.000464468
12,420.486,0.21818,0.77647,0.97647,0.88102,0.00046207,0.00046207,0.00046207
13,448.841,0.24961,0.77059,0.98235,0.75795,0.000459454,0.000459454,0.000459454
14,477.824,0.16796,0.77647,0.97647,0.74041,0.000456621,0.000456621,0.000456621
15,507.607,0.11007,0.8,0.96471,0.83873,0.000453575,0.000453575,0.000453575
16,537.56,0.13774,0.78235,0.95882,0.81498,0.000450319,0.000450319,0.000450319
17,566.739,0.13335,0.79412,0.97059,0.96426,0.000446855,0.000446855,0.000446855
18,596.04,0.12876,0.82353,0.96471,0.81455,0.000443188,0.000443188,0.000443188
19,626.612,0.12304,0.79412,0.97059,0.84339,0.000439321,0.000439321,0.000439321
20,656.579,0.13603,0.79412,0.97059,0.81912,0.000435257,0.000435257,0.000435257
21,686.852,0.09697,0.80588,0.96471,0.72533,0.000431001,0.000431001,0.000431001
22,715.243,0.07603,0.79412,0.96471,0.87877,0.000426556,0.000426556,0.000426556
23,743.846,0.10115,0.76471,0.96471,0.86987,0.000421928,0.000421928,0.000421928
24,773.291,0.08087,0.79412,0.96471,0.92242,0.000417121,0.000417121,0.000417121
25,801.487,0.08615,0.73529,0.96471,1.08947,0.00041214,0.00041214,0.00041214
26,829.24,0.07375,0.75882,0.97059,1.00559,0.000406988,0.000406988,0.000406988
27,857.141,0.10768,0.76471,0.96471,1.05454,0.000401673,0.000401673,0.000401673
28,884.623,0.06425,0.76471,0.97059,1.01723,0.000396198,0.000396198,0.000396198
29,913.327,0.09081,0.78235,0.95294,0.93422,0.00039057,0.00039057,0.00039057
30,940.357,0.07978,0.81176,0.95294,0.96545,0.000384793,0.000384793,0.000384793
31,968.734,0.11793,0.8,0.95294,0.92352,0.000378874,0.000378874,0.000378874
32,998.206,0.07172,0.81765,0.97059,0.82239,0.000372818,0.000372818,0.000372818
33,1027.48,0.06165,0.8,0.97647,0.8358,0.000366632,0.000366632,0.000366632
34,1055.44,0.0542,0.81765,0.95882,0.77332,0.00036032,0.00036032,0.00036032
35,1084.26,0.06843,0.8,0.95882,0.85696,0.000353891,0.000353891,0.000353891
36,1112.29,0.04553,0.82353,0.96471,0.74955,0.000347349,0.000347349,0.000347349
37,1139.93,0.04972,0.75294,0.98235,0.88423,0.000340702,0.000340702,0.000340702
38,1168.69,0.04596,0.76471,0.98235,0.892,0.000333956,0.000333956,0.000333956
39,1196.27,0.03327,0.77647,0.98235,0.86043,0.000327118,0.000327118,0.000327118
40,1224.45,0.03248,0.78824,0.97059,0.88627,0.000320193,0.000320193,0.000320193
41,1252.64,0.03436,0.79412,0.96471,0.9436,0.000313191,0.000313191,0.000313191
42,1282.11,0.03763,0.78824,0.97647,0.89266,0.000306116,0.000306116,0.000306116
43,1310.3,0.03821,0.8,0.97647,0.9076,0.000298976,0.000298976,0.000298976
